height,distance,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_2nd_correlation,teo_2nd_correlation,keo_2nd_correlation,ptk_2nd_correlation
0.03,5500,0.2908474050132813,0.42725759010333947,2.071878671646118,70,0.1728493151544961,0.42725759010333947,0.3342012887849085,0.22908142601038123
0.03,6000,0.33836042874340794,0.47732526027951167,2.0257251262664795,70,0.2815662943955977,0.47732526027951167,0.35215106422738895,0.24239909607113322
0.03,6500,0.25928613593608246,0.3421070040723523,2.500774383544922,70,0.3421070040723523,0.29562503118636746,0.23019163181078123,0.16922087667482896
0.03,7000,0.2257710467935362,0.30730977246639224,2.4456138610839844,70,0.30730977246639224,0.22057190157607384,0.23254187484867586,0.14266063828300293
0.03,7500,0.17729061167807839,0.30894184895411125,2.1103925704956055,70,0.30894184895411125,0.11759715237518216,0.1414428745660664,0.1411805708169537
0.04,1000,0.41060801684432613,0.47590147563840435,2.0245330333709717,70,0.4262929650262541,0.47590147563840435,0.4278225392919818,0.31241508742066415
0.04,1500,0.3063775328167212,0.3456668880622002,2.031466484069824,70,0.2981578934508475,0.3456668880622002,0.2816650752539651,0.30002027449987195
0.04,2000,0.2859684162973541,0.3476241859361114,2.4055042266845703,70,0.2454387118460498,0.31945095719430466,0.23135981021295063,0.3476241859361114
0.04,2500,0.46309046804231274,0.5635578025796093,2.093086004257202,70,0.46386005885125287,0.5635578025796093,0.3972417004512326,0.4277023102871562
0.04,3000,0.48966177861502563,0.5217162750645732,2.07643723487854,70,0.5210970118784842,0.5217162750645732,0.4982653954350021,0.41756843208204303
0.04,3500,0.4217882369750548,0.43849002591186886,2.1352341175079346,70,0.4340822377188354,0.4255405660695276,0.43849002591186886,0.3890401181999872
0.04,4000,0.3373268787874563,0.39933539572807075,2.148169994354248,70,0.37022697364637863,0.39933539572807075,0.29462651641298243,0.28511862936239346
0.04,4500,0.24785790012000583,0.3598371167497015,2.094972848892212,70,0.3203470468968237,0.3598371167497015,0.12125639478654231,0.18999104204695594
0.04,5000,0.2738950258609621,0.39522850370868184,2.1010875701904297,70,0.1907019173660362,0.39522850370868184,0.2144723801344814,0.29517730223464883
0.04,5500,0.344618697030845,0.43400779312737864,2.0713870525360107,70,0.2574128526012663,0.43400779312737864,0.3589372824333222,0.328116859961413
0.04,6000,0.3721413938691582,0.4718252279789877,2.0813069343566895,70,0.3561467518124006,0.4718252279789877,0.37858140384220823,0.28201219184303633
0.04,6500,0.3059049989143041,0.4585445563139989,2.0199100971221924,70,0.4585445563139989,0.3002673435308467,0.25302054290704584,0.21178755290532505
0.04,7000,0.24333604448806992,0.3343478880928468,2.0126242637634277,70,0.3343478880928468,0.20841373027148258,0.26372418176994583,0.16685837781800453
0.04,7500,0.23733957654788596,0.3694016046986066,2.038034677505493,70,0.3694016046986066,0.1755186633665793,0.17971596481757995,0.22472207330877805
0.05,1000,0.41059543108912855,0.48197686904927445,2.23880672454834,70,0.4273817012257276,0.48197686904927445,0.4030662125199358,0.3299569415615763
0.05,1500,0.32344857129467897,0.3639606140997455,2.1588869094848633,70,0.3121700422999336,0.3639606140997455,0.29181597865718095,0.32584765012185557
0.05,2000,0.32888102480826514,0.3861807132892295,2.032872200012207,70,0.2916669882978087,0.36622313890852204,0.27145325873750037,0.3861807132892295
