height,distance,n,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_3rd_correlation,keo_3rd_correlation
0.15,2700,7,0.7022559615140607,0.7342674822818139,1.3216793537139893,70,0.6702444407463074,0.7342674822818139
0.15,2800,7,0.703358097235258,0.7114134403119594,1.3274893760681152,70,0.6953027541585565,0.7114134403119594
0.15,2900,7,0.6739496494057748,0.6917088772723498,1.2845044136047363,70,0.6561904215391999,0.6917088772723498
0.15,3000,7,0.6536040614413798,0.6596378633654614,1.274888038635254,70,0.6475702595172982,0.6596378633654614
0.15,3100,7,0.6282108977548653,0.6349415671872367,1.2773058414459229,70,0.6349415671872367,0.6214802283224938
0.15,2000,8,0.5632340496574426,0.59911294376055,1.2575011253356934,70,0.59911294376055,0.5273551555543352
0.15,2100,8,0.5982282155033072,0.6351606927508102,1.244666576385498,70,0.6351606927508102,0.5612957382558041
0.15,2200,8,0.6291870592316373,0.6402122548665585,1.2345707416534424,70,0.6402122548665585,0.618161863596716
0.15,2300,8,0.6636342818987826,0.6771811132833996,1.2516248226165771,70,0.6771811132833996,0.6500874505141655
0.15,2400,8,0.6969714842427126,0.7100971789453924,1.2428977489471436,70,0.7100971789453924,0.6838457895400328
0.15,2500,8,0.7117821776313936,0.7236808100884903,1.242626428604126,70,0.7236808100884903,0.699883545174297
0.15,2600,8,0.7200004120974108,0.722516337846068,1.2471513748168945,70,0.7174844863487537,0.722516337846068
0.15,2700,8,0.7062442299104361,0.7136071609688656,1.2451953887939453,70,0.6988812988520067,0.7136071609688656
0.15,2800,8,0.7075437607510712,0.7244409722344839,1.241213321685791,70,0.7244409722344839,0.6906465492676584
0.15,2900,8,0.6858425374100754,0.6935227090368108,1.2510452270507812,70,0.6935227090368108,0.6781623657833399
0.15,3000,8,0.6653005489712083,0.6865678052476996,1.25469970703125,70,0.6865678052476996,0.6440332926947171
0.15,3100,8,0.6390537661211175,0.6685628935977733,1.2472083568572998,70,0.6685628935977733,0.6095446386444617
0.15,2000,9,0.5782966729188075,0.6291703398148218,1.2647500038146973,70,0.6291703398148218,0.527423006022793
0.15,2100,9,0.6119058056530491,0.6630796200486464,1.2668590545654297,70,0.6630796200486464,0.5607319912574519
0.15,2200,9,0.6441066505816558,0.6699164134846155,1.2786810398101807,70,0.6699164134846155,0.6182968876786962
0.15,2300,9,0.677932913809855,0.7035241451867851,1.3009002208709717,70,0.7035241451867851,0.6523416824329249
0.15,2400,9,0.7100439200037099,0.7333858329202261,1.3231205940246582,70,0.7333858329202261,0.6867020070871935
0.15,2500,9,0.7233239247490109,0.7427954931907165,1.3196706771850586,70,0.7427954931907165,0.7038523563073054
